,Compagnie d'assurance,Date de création,Nom et Prénom Assuré /Raison Sociale,Immatriculation Véhicule assuré,Mode de gestion,Garantie impliquée,Chargé réparation,Marque,Réparateur,Expert,Compagnie adverse,Accord VR (Véhicule de remplacement),Agence,Agent,Cas de barème,Chargé acceptation,Code agence,Date Accident,Date acceptation,Date accord (SST),Date demande,Etape Dossier,Etat d'approbation,Immatriculation tiers,Montant total devis,Nom et Prénom tiers /Raison Sociale,Numero sinistre,Numéro de contrat,Point Choc,Position GA,SST,Nbr réclamations antérieures,Day Accident,Month Accident,Year Accident,Day demande,Month demande,Year demande,Retard reclamation,Fraud
0,5,290,634,1007,3,3,1,15,31,11,13,0,36,37,1,1,63,85,79,221,65,16,0,473,845,744,1,250,58,1,1,1,24,5,0,25,6,0,45,0
1,7,15,891,703,1,1,0,0,69,29,1,2,62,63,18,1,88,313,706,827,232,4,0,885,878,197,944,974,54,1,0,0,25,3,0,30,3,0,54,0
2,8,51,614,641,1,6,1,18,39,25,6,0,84,84,5,1,27,135,756,252,98,16,0,135,228,349,943,810,73,1,4,0,13,7,0,16,7,0,35,0
3,8,109,835,326,1,6,8,40,57,11,12,0,96,96,19,1,86,84,106,514,66,16,0,976,367,962,942,406,54,0,1,0,23,5,0,26,6,0,60,0
4,8,112,48,774,1,6,8,40,57,6,10,1,13,13,1,1,41,92,397,568,71,16,0,579,436,51,941,713,70,1,1,0,28,6,0,6,6,0,70,0
5,8,141,762,635,1,6,1,18,39,25,7,0,13,13,0,2,41,66,371,559,52,16,0,701,432,581,940,288,4,1,4,0,3,5,0,6,5,0,35,0
6,8,153,307,130,1,6,5,32,42,28,14,0,13,13,4,1,41,60,173,379,45,16,0,360,758,557,939,180,58,1,1,1,27,5,0,29,5,0,22,0
7,8,280,842,992,1,5,5,14,59,1,1,2,41,16,5,1,43,58,839,709,84,10,0,320,251,509,938,699,30,1,4,0,25,5,0,22,7,0,61,0
8,8,313,1035,177,1,6,5,31,59,1,1,2,13,13,4,0,41,48,839,827,38,10,0,499,215,138,937,337,54,1,0,0,13,4,0,19,4,0,60,0
9,8,33,473,727,3,3,0,31,69,29,13,0,13,13,9,0,41,49,710,178,38,16,0,719,811,765,936,198,59,1,4,0,14,4,0,19,4,0,54,1
10,8,73,672,418,3,3,0,33,69,29,7,0,13,13,16,1,41,49,146,442,44,16,0,174,39,30,935,159,30,1,4,1,14,4,0,28,5,0,8,1
11,4,187,728,136,3,3,8,31,57,21,10,0,13,13,1,0,41,47,708,487,34,15,0,533,327,132,934,621,4,1,1,0,12,4,0,14,4,0,22,0
12,4,223,936,1038,1,1,0,5,69,29,16,0,13,13,10,1,41,39,635,340,36,16,0,451,553,190,933,230,51,1,2,0,3,4,0,17,4,0,8,0
13,4,296,652,832,1,1,0,15,69,29,16,2,85,85,1,1,34,321,705,827,239,4,0,139,878,883,932,468,59,1,0,0,3,3,0,9,3,0,60,0
14,4,312,364,689,3,3,0,32,69,29,2,0,30,31,1,1,1,301,662,726,222,16,0,216,737,80,931,428,70,1,4,0,14,2,0,17,2,0,35,1
15,4,236,872,805,3,3,0,31,69,29,3,0,30,31,1,1,1,285,203,321,211,15,0,82,130,727,930,612,64,1,4,0,26,2,0,29,2,0,35,0
16,4,184,624,127,1,1,0,40,69,29,16,2,13,13,15,1,41,251,839,827,183,11,0,651,878,472,929,196,73,1,0,0,21,11,0,0,1,0,22,0
17,8,117,155,328,3,3,8,11,53,25,13,2,41,16,1,1,43,241,839,827,174,11,0,663,878,839,928,92,59,1,0,0,6,11,0,9,11,0,35,0
18,8,130,131,114,1,7,0,24,69,29,16,0,13,13,5,1,41,216,763,582,155,15,0,14,115,876,927,224,64,1,1,0,10,10,0,15,10,0,45,0
19,8,414,877,644,1,0,0,39,69,29,16,1,13,13,5,1,41,135,610,816,98,16,0,709,824,274,926,936,70,1,4,0,13,7,0,16,7,0,35,0
